Event , PID , PT , Y 
0,421,3.00065,1.1437
1,-421,1.79541,1.55279
2,421,0.747091,-1.90056
4,421,2.49794,1.60637
8,421,2.0422,1.56319
10,-421,2.64909,0.551002
11,421,1.14495,-0.802906
15,-421,1.97685,-0.832013
23,-421,1.11338,0.895894
24,-421,2.87276,-0.831371
24,421,2.47309,-0.659181
26,421,9.1384,1.34933
26,-421,1.67519,0.0219774
27,421,4.20062,1.671
40,421,1.7251,1.59801
40,-421,1.64573,0.918971
41,421,3.12799,0.824916
50,421,1.45107,-0.959054
51,421,1.79066,1.65677
51,-421,1.10204,0.103523
51,-421,1.35956,0.195065
55,421,2.20185,1.10198
55,-421,2.15083,1.26278
57,-421,6.45817,0.208388
58,-421,1.74259,0.685872
61,421,0.90139,-1.72435
62,-421,1.50499,-0.272699
66,-421,0.840708,0.284158
66,421,1.09964,-1.74237
76,421,4.52968,-0.00196144
81,-421,2.55516,-1.26157
82,-421,3.06352,1.95934
85,421,0.989784,-0.25158
85,-421,1.38954,0.194294
89,-421,2.0479,0.689022
92,-421,1.29686,-1.95466
93,-421,1.29159,-0.0493436
93,421,1.93338,1.56352
94,-421,2.59182,1.41483
99,421,2.57995,1.1954
102,-421,0.968587,1.1577
104,421,1.67142,-1.47431
104,-421,0.974033,0.108654
105,421,1.38917,0.503561
106,421,1.53638,-1.57107
107,421,0.0913408,-0.726374
108,-421,2.99885,-1.39523
114,-421,1.09075,-1.59429
115,421,1.68877,-0.166415
116,-421,1.90478,-1.42715
124,-421,2.29768,-1.92005
132,-421,1.73631,1.3534
133,421,1.22051,0.112036
136,421,1.91753,-1.89784
138,-421,1.00258,-0.345953
140,421,1.29574,-1.08949
142,-421,1.64149,0.3546
142,421,2.86681,0.287052
145,-421,0.463854,1.04317
148,-421,2.67696,0.899798
150,-421,1.77172,0.882482
153,-421,1.74528,-1.45901
154,421,1.9083,-0.859948
155,421,2.26273,0.443662
159,421,1.19776,0.979786
167,421,3.54843,-0.306467
167,-421,2.19467,-0.397828
168,421,0.548284,1.29291
169,421,2.32594,1.11692
170,421,0.302941,-1.1653
171,421,1.96722,1.1654
177,421,4.0703,1.96246
178,-421,3.51722,-1.09949
179,-421,2.15031,0.941598
180,421,1.71057,1.16228
181,421,1.69916,-1.54966
182,421,3.54399,0.218799
184,-421,0.352603,1.14062
186,-421,0.890115,-1.62588
191,-421,1.20694,0.14171
196,-421,1.37214,1.09116
198,-421,1.9485,-1.86836
199,-421,3.12746,1.67086
199,421,2.01853,1.25646
201,421,0.168633,0.519418
204,421,0.750983,-1.89382
205,-421,0.92507,0.901763
